,Aspect,Group Name,Prof List,Total Prof
0,Expertize,Computer Science and Engineering,"['A S Madhukumar', 'Alexei Sourin', 'Anupam Chattopadhyay', 'Anwitaman Datta', 'Arvind Easwaran', 'Cham Tat Jen', 'Chan Syin', 'Chen Change Loy', 'Chia Liang Tien', 'Cong Gao', 'Deepu Rajan', 'Douglas Leslie Maskell', 'Dusit Niyato', 'Erik Cambria', 'Goh Wooi Boon', 'Guan Cuntai', 'He Ying', 'Huang Shell Ying', 'Hui Siu Cheung', 'Jagath Chandana Rajapakse', 'Joty Shafiq Rayhan', 'Ke Yiping, Kelly', 'Kwoh Chee Keong', 'Lam Kwok Yan', 'Lam Siew Kei', 'Lana Obraztsova', 'Lee Bu Sung', 'Li Boyang', 'Li Fang', 'Li Mo', 'Li Yi', 'Lin Feng', 'Lin Guosheng', 'Lin Shang-Wei', 'Lin Weisi', 'Liu Weichen', 'Liu Yang', 'Liu Ziwei', 'Loke Yuan Ren', 'Long Cheng', 'Luo Siqiang （骆思强）', 'Luu Anh Tuan', 'Miao Chun Yan', 'Mohamed M. Sabry', 'Oh Hong Lye', 'Ong Yew Soon', 'Owen Noel Newton Fernando', 'Pan, Sinno Jialin', 'Qian Kemao', 'Quek Hiok Chai', 'Smitha K G', 'Sourav Saha Bhowmick', 'Tan Rui', 'Tang Xueyan', 'Tay Kian Boon', 'Thambipillai Srikanthan', 'Vun Chan Hua, Nicholas', 'Wai Kin Adams Kong', 'Wee Keong NG', 'Wen Yonggang', 'Wentong Cai', 'Yeo Chai Kiat', 'Zhang Hanwang', 'Zhang Jie', 'Zhang Tianwei', 'Zhao Jun', 'Zheng Jianmin', 'Zinovi Rabinovich']",68
1,Expertize,Electrical and Electronic Engineering,"['A S Madhukumar', 'Anupam Chattopadhyay', 'Deepu Rajan', 'Deepu Rajan', 'Douglas Leslie Maskell', 'Dusit Niyato', 'Goh Wooi Boon', 'Lam Siew Kei', 'Lin Feng', 'Lin Weisi', 'Loke Yuan Ren', 'Mohamed M. Sabry', 'Qian Kemao', 'Quek Hiok Chai', 'Smitha K G', 'Thambipillai Srikanthan', 'Vun Chan Hua, Nicholas', 'Yeo Chai Kiat', 'Zhang Hanwang', 'Zhao Jun']",20
2,Expertize,Info-Communication Technology,"['A S Madhukumar', 'Cham Tat Jen', 'Chan Syin', 'Chia Liang Tien', 'Deepu Rajan', 'Deepu Rajan', 'Huang Shell Ying', 'Hui Siu Cheung', 'Lam Kwok Yan', 'Lau Chiew Tong', 'Lee Bu Sung', 'Miao Chun Yan', 'Owen Noel Newton Fernando', 'Tan Rui', 'Vun Chan Hua, Nicholas', 'Wee Keong NG', 'Wen Yonggang', 'Yeo Chai Kiat']",18
3,Expertize,Interactive Digital Media,"['A S Madhukumar', 'Alexei Sourin', 'Cham Tat Jen', 'Chan Syin', 'Chia Liang Tien', 'Deepu Rajan', 'Deepu Rajan', 'Goh Wooi Boon', 'Hui Siu Cheung', 'Lin Feng', 'Loke Yuan Ren', 'Miao Chun Yan', 'Owen Noel Newton Fernando', 'Qian Kemao', 'Wee Keong NG', 'Yeo Chai Kiat', 'Zhang Hanwang', 'Zheng Jianmin']",18
4,Expertize,Internet & Communications,"['A S Madhukumar', 'Chan Syin', 'Chia Liang Tien', 'Hui Siu Cheung', 'Lau Chiew Tong', 'Lee Bu Sung', 'Li Fang', 'Li Mo', 'Miao Chun Yan', 'Tan Rui', 'Vun Chan Hua, Nicholas', 'Wee Keong NG', 'Wen Yonggang', 'Yeo Chai Kiat']",14
5,Expertize,Computer Networks and Communications,"['A S Madhukumar', 'Dusit Niyato', 'Lau Chiew Tong', 'Lee Bu Sung', 'Li Mo', 'Luo Jun', 'Tan Rui', 'Yeo Chai Kiat', 'Zhao Jun']",9
6,Expertize,Graphics and Interactive Computing,"['Alexei Sourin', 'Lu Shijian', 'Owen Noel Newton Fernando', 'Seah Hock Soon', 'Shen Zhiqi', 'Yu Han']",6
7,Expertize,Smart Cities,"['Alexei Sourin', 'Bo An', 'Bo An', 'Chng Eng Siong', 'Cong Gao', 'Lam Kwok Yan', 'Lu Shijian', 'Ong Yew Soon', 'Wai Kin Adams Kong']",9
8,Expertize,Microelectronics & Applications,"['Anupam Chattopadhyay', 'Smitha K G']",2
9,Expertize,Nanotechnology & Nano-Science,"['Anupam Chattopadhyay', 'Mohamed M. Sabry']",2
10,Expertize,Security Studies & Policy Issues,"['Anupam Chattopadhyay', 'Lam Kwok Yan', 'Wee Keong NG']",3
11,Expertize,Computing Hardware and Architecture,"['Anupam Chattopadhyay', 'Arvind Easwaran', 'Douglas Leslie Maskell', 'Lam Siew Kei', 'Liu Weichen', 'Mohamed M. Sabry', 'Thambipillai Srikanthan', 'Vun Chan Hua, Nicholas']",8
12,Expertize,Hardware and Embedded Systems,"['Anupam Chattopadhyay', 'Douglas Leslie Maskell', 'Lam Siew Kei', 'Liu Weichen', 'Luo Jun', 'Mohamed M. Sabry', 'Thambipillai Srikanthan']",7
13,Expertize,Parallel and Distributed Computing,"['Anwitaman Datta', 'Huang Shell Ying', 'Lee Bu Sung', 'Seah Hock Soon', 'Tang Xueyan', 'Wentong Cai', 'Yu Han']",7
14,Expertize,Computational Intelligence,"['Bo An', 'Chng Eng Siong', 'Shen Zhiqi', 'Sun Aixin', 'Yu Han']",5
15,Expertize,Information Sciences and Systems,"['Bo An', 'Sun Aixin', 'Yu Han']",3
16,Expertize,Robotics and Intelligent Systems,['Bo An'],1
17,Expertize,Artificial and Augmented Intelligence,"['Bo An', 'Chng Eng Siong', 'Cong Gao', 'Jagath Chandana Rajapakse', 'Lin Weisi', 'Luke Ong （翁之昊）', 'Miao Chun Yan', 'Shen Zhiqi', 'Yu Han']",9
18,Expertize,Economics,"['Bo An', 'Lu Shijian']",2
19,Expertize,Sociology,"['Cong Gao', 'Sourav Saha Bhowmick']",2
20,Expertize,Energy,"['Douglas Leslie Maskell', 'Tan Rui', 'Zhao Jun']",3
21,Expertize,Machines & Systems,"['Goh Wooi Boon', 'Jagath Chandana Rajapakse', 'Loke Yuan Ren', 'Mohamed M. Sabry', 'Quek Hiok Chai', 'Smitha K G']",6
22,Expertize,Neuroscience,"['Guan Cuntai', 'Lu Shijian']",2
23,Expertize,Brain Machine Interface,"['Guan Cuntai', 'Jagath Chandana Rajapakse', 'Smitha K G']",3
24,Expertize,Business and Management,['Huang Shell Ying'],1
25,Expertize,Systems and Engineering Management,"['Huang Shell Ying', 'Kwoh Chee Keong', 'Mohamed M. Sabry']",3
26,Expertize,Mathematics,"['Hui Siu Cheung', 'Jagath Chandana Rajapakse', 'Kwoh Chee Keong', 'Loke Yuan Ren', 'Luke Ong （翁之昊）', 'Tay Kian Boon', 'Zhang Hanwang', 'Zhao Jun', 'Zheng Jianmin']",9
27,Expertize,Biomedical Sciences & Life Sciences,"['Jagath Chandana Rajapakse', 'Kwoh Chee Keong', 'Lin Feng', 'Quek Hiok Chai', 'Sourav Saha Bhowmick']",5
28,Expertize,Psychology,['Jagath Chandana Rajapakse'],1
29,Expertize,Linguistics and Multilingual Studies,['Joty Shafiq Rayhan'],1
30,Expertize,Interface of Biology & Engineering (Engineering in Biology),"['Kwoh Chee Keong', 'Lin Feng']",2
31,Expertize,Cyber Security and Forensics,"['Lam Kwok Yan', 'Lin Shang-Wei', 'Liu Yang', 'Thambipillai Srikanthan', 'Wee Keong NG']",5
32,Expertize,Internet of Things,"['Li Mo', 'Luo Jun']",2
33,Expertize,Machine-Person Interoperability,['Loke Yuan Ren'],1
34,Expertize,Computer Vision and Sensing,"['Lu Shijian', 'Luo Jun', 'Seah Hock Soon', 'Shen Zhiqi']",4
35,Expertize,"Art, Design and Media","['Owen Noel Newton Fernando', 'Sourav Saha Bhowmick', 'Zheng Jianmin']",3
36,Expertize,Mechanical & Manufacturing Engineering,"['Qian Kemao', 'Zheng Jianmin']",2
37,Expertize,Physics,['Qian Kemao'],1
38,Expertize,Financial Engineering & Risk Management,['Quek Hiok Chai'],1
39,Expertize,Ageing,"['Shen Zhiqi', 'Vanessa Evers']",2
40,Expertize,Education,['Vanessa Evers'],1
41,Expertize,Language & Communication,['Zhang Hanwang'],1
42,Expertize,"Science, Technology and Society",['Zhao Jun'],1
0,Research Group,Computer Networks and Communications,"['A S Madhukumar', 'Dusit Niyato', 'Lau Chiew Tong', 'Lee Bu Sung', 'Li Mo', 'Luo Jun', 'Tan Rui', 'Yeo Chai Kiat', 'Zhao Jun']",9
1,Research Group,Graphics and Interactive Computing,"['Alexei Sourin', 'Goh Wooi Boon', 'He Ying', 'Owen Noel Newton Fernando', 'Qian Kemao', 'Seah Hock Soon', 'Zheng Jianmin']",7
2,Research Group,Hardware and Embedded Systems,"['Anupam Chattopadhyay', 'Arvind Easwaran', 'Douglas Leslie Maskell', 'Lam Siew Kei', 'Liu Weichen', 'Mohamed M. Sabry', 'Oh Hong Lye', 'Smitha K G', 'Thambipillai Srikanthan', 'Vun Chan Hua, Nicholas']",10
3,Research Group,Parallel and Distributed Computing,"['Anwitaman Datta', 'Huang Shell Ying', 'Tang Xueyan', 'Wentong Cai']",4
4,Research Group,Computational Intelligence,"['Bo An', 'Erik Cambria', 'Guan Cuntai', 'Ke Yiping, Kelly', 'Lana Obraztsova', 'Miao Chun Yan', 'Ong Yew Soon', 'Pan, Sinno Jialin', 'Quek Hiok Chai', 'Shen Zhiqi', 'Yu Han', 'Zhang Jie', 'Zinovi Rabinovich']",13
5,Research Group,Computer Vision and Language,"['Cham Tat Jen', 'Chan Syin', 'Chen Change Loy', 'Chia Liang Tien', 'Chng Eng Siong', 'Deepu Rajan', 'Joty Shafiq Rayhan', 'Li Fang', 'Lin Guosheng', 'Lin Weisi', 'Liu Ziwei', 'Loke Yuan Ren', 'Lu Shijian', 'Vanessa Evers', 'Zhang Hanwang']",15
6,Research Group,None,"['Chee Wei Tan', 'Fan Xiuyi', 'Li Boyang', 'Luke Ong （翁之昊）', 'Luo Siqiang （骆思强）', 'Luu Anh Tuan', 'Vidya Sudarshan']",7
7,Research Group,Data Management and Analytics,"['Cong Gao', 'Hui Siu Cheung', 'Long Cheng', 'Sourav Saha Bhowmick', 'Sun Aixin', 'Wen Yonggang']",6
8,Research Group,Biomedical Informatics,"['Jagath Chandana Rajapakse', 'Kwoh Chee Keong', 'Lin Feng']",3
9,Research Group,Cyber Security and Forensics,"['Lam Kwok Yan', 'Li Yi', 'Lin Shang-Wei', 'Liu Yang', 'Tay Kian Boon', 'Wai Kin Adams Kong', 'Wee Keong NG', 'Zhang Tianwei']",8
